CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
614672714,03/24/2016,16:45:00,03/24/2016,17:00:00,03/26/2016,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BROOKLYN,67.0,FRONT OF,RESIDENCE-HOUSE,nan,nan,1002555.0,172696.0,40.640676528,-73.93404401,"(40.640676528, -73.93404401)"
864796982,02/22/2016,13:50:00,02/22/2016,14:10:00,02/22/2016,110,GRAND LARCENY OF MOTOR VEHICLE,441.0,"LARCENY,GRAND OF AUTO",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,46.0,FRONT OF,STREET,nan,nan,1009331.0,250025.0,40.852908430999996,-73.909340056,"(40.852908431, -73.909340056)"
105856897,03/21/2016,14:50:00,03/21/2016,14:55:00,03/21/2016,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,121.0,INSIDE,RESIDENCE-HOUSE,nan,nan,944075.0,166443.0,40.623441179000004,-74.14472455100001,"(40.623441179, -74.144724551)"
948233328,03/28/2016,18:15:00,03/28/2016,18:20:00,03/28/2016,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,45.0,INSIDE,JEWELRY,nan,nan,1033597.0,255731.0,40.868467378000005,-73.821582846,"(40.868467378, -73.821582846)"
765467317,02/02/2016,02:00:00,02/02/2016,02:01:00,02/02/2016,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,114.0,INSIDE,RESIDENCE - APT. HOUSE,nan,nan,1006776.0,220990.0,40.773222365,-73.91867316,"(40.773222365, -73.91867316)"
695331507,02/01/2016,11:00:00,02/01/2016,21:36:00,02/02/2016,361,OFF. AGNST PUB ORD SENSBLTY &,639.0,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,61.0,INSIDE,RESIDENCE-HOUSE,nan,nan,998674.0,153260.0,40.587335892,-73.948069722,"(40.587335892, -73.948069722)"
827484027,02/20/2016,23:30:00,02/21/2016,07:45:00,02/21/2016,351,CRIMINAL MISCHIEF & RELATED OF,254.0,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,47.0,FRONT OF,RESIDENCE-HOUSE,nan,nan,1025312.0,261118.0,40.883295441,-73.851504945,"(40.883295441, -73.851504945)"
331308147,02/09/2016,08:00:00,02/09/2016,08:20:00,03/28/2016,126,MISCELLANEOUS PENAL LAW,461.0,UNAUTHORIZED USE VEHICLE 2,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,63.0,FRONT OF,COMMERCIAL BUILDING,nan,nan,1004766.0,171601.0,40.637666143000004,-73.926080565,"(40.637666143, -73.926080565)"
218817707,11/01/2015,00:00:00,01/11/2016,12:00:00,01/11/2016,109,GRAND LARCENY,422.0,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,106.0,INSIDE,RESIDENCE-HOUSE,nan,nan,1024185.0,183220.0,40.669491461,-73.856043568,"(40.669491461, -73.856043568)"
389864762,12/28/2015,09:38:00,12/28/2015,09:38:00,01/17/2016,106,FELONY ASSAULT,106.0,"ASSAULT 2,1,PEACE OFFICER",COMPLETED,FELONY,DEPT OF CORRECTIONS,BRONX,41.0,INSIDE,OTHER,nan,nan,1016268.0,227533.0,40.791151866999996,-73.884371919,"(40.791151867, -73.884371919)"
413271204,01/24/2016,03:55:00,nan,nan,01/24/2016,341,PETIT LARCENY,338.0,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,14.0,INSIDE,COMMERCIAL BUILDING,nan,nan,988840.0,213570.0,40.75288388,-73.98343468899999,"(40.75288388, -73.983434689)"
890941029,03/19/2016,04:05:00,03/19/2016,04:10:00,03/19/2016,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,114.0,INSIDE,BAR/NIGHT CLUB,nan,nan,1003885.0,215209.0,40.75736191,-73.929127761,"(40.75736191, -73.929127761)"
206750636,01/11/2016,06:05:00,01/11/2016,06:15:00,01/11/2016,578,HARRASSMENT 2,637.0,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,STATEN ISLAND,120.0,INSIDE,GROCERY/BODEGA,nan,nan,960730.0,163209.0,40.614624398000004,-74.084716734,"(40.614624398, -74.084716734)"
595259073,03/30/2016,10:00:00,03/30/2016,11:23:00,03/30/2016,351,CRIMINAL MISCHIEF & RELATED OF,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,75.0,INSIDE,RESIDENCE - APT. HOUSE,nan,nan,1013664.0,179815.0,40.660186702,-73.89398453,"(40.660186702, -73.89398453)"
485121405,01/27/2016,19:30:00,01/27/2016,20:00:00,01/27/2016,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,32.0,nan,STREET,nan,nan,1001610.0,241367.0,40.829163304,-73.93727189399999,"(40.829163304, -73.937271894)"
343342838,01/17/2016,23:09:00,nan,nan,03/22/2016,121,CRIMINAL MISCHIEF & RELATED OF,273.0,"TAMPERING 1,CRIMINAL",COMPLETED,FELONY,N.Y. TRANSIT POLICE,MANHATTAN,14.0,nan,TRANSIT - NYC SUBWAY,nan,nan,987636.0,212439.0,40.749780113,-73.987780874,"(40.749780113, -73.987780874)"
913688959,02/01/2016,14:20:00,nan,nan,02/01/2016,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,43.0,INSIDE,PUBLIC SCHOOL,nan,nan,1018266.0,238684.0,40.821750797,-73.87709986899999,"(40.821750797, -73.877099869)"
616494645,01/12/2016,18:19:00,01/12/2016,18:21:00,01/12/2016,341,PETIT LARCENY,339.0,"LARCENY,PETIT FROM OPEN AREAS,",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,84.0,INSIDE,CLOTHING/BOUTIQUE,nan,nan,988175.0,190975.0,40.690866375,-73.985848057,"(40.690866375, -73.985848057)"
700994438,02/08/2016,14:35:00,nan,nan,02/08/2016,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. TRANSIT POLICE,MANHATTAN,14.0,nan,TRANSIT - NYC SUBWAY,nan,nan,990886.0,213048.0,40.751449824,-73.976050545,"(40.751449824, -73.976050545)"
423765505,01/26/2016,14:30:00,01/26/2016,15:30:00,01/26/2016,109,GRAND LARCENY,410.0,"LARCENY,GRAND FROM RETAIL STORE, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,20.0,INSIDE,DEPARTMENT STORE,nan,nan,989211.0,222871.0,40.778412523,-73.98208877,"(40.778412523, -73.98208877)"
552056045,03/17/2014,09:00:00,07/21/2014,23:35:00,03/15/2016,340,FRAUDS,703.0,"CHECK,BAD",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,1.0,INSIDE,RESIDENCE - APT. HOUSE,nan,nan,979383.0,197298.0,40.708221068,-74.01755621699999,"(40.708221068, -74.017556217)"
964811544,08/27/2015,18:06:00,08/27/2015,18:06:00,01/27/2016,341,PETIT LARCENY,338.0,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,88.0,INSIDE,RESIDENCE - APT. HOUSE,nan,nan,992376.0,188772.0,40.684816785,-73.970702082,"(40.684816785, -73.970702082)"
166074586,12/30/2015,10:00:00,01/09/2016,10:00:00,02/08/2016,109,GRAND LARCENY,422.0,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,48.0,INSIDE,RESIDENCE - APT. HOUSE,nan,nan,1014134.0,248513.0,40.848743492,-73.891985195,"(40.848743492, -73.891985195)"
500905066,01/28/2016,11:31:00,01/28/2016,11:47:00,01/28/2016,235,DANGEROUS DRUGS,511.0,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,19.0,INSIDE,RESIDENCE - PUBLIC HOUSING,nan,nan,999249.0,223595.0,40.78038838,-73.945842958,"(40.78038838, -73.945842958)"
980393217,02/02/2016,17:00:00,02/03/2016,06:30:00,02/03/2016,121,CRIMINAL MISCHIEF & RELATED OF,267.0,"MISCHIEF, CRIMINAL 3 & 2, OF M",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,66.0,FRONT OF,STREET,nan,nan,983948.0,173771.0,40.643646081,-74.001089671,"(40.643646081, -74.001089671)"
724030831,02/22/2016,14:00:00,02/22/2016,14:05:00,02/22/2016,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,STATEN ISLAND,122.0,INSIDE,RESIDENCE-HOUSE,nan,nan,955985.0,144697.0,40.563798815,-74.101730018,"(40.563798815, -74.101730018)"
976909823,01/23/2016,13:50:00,nan,nan,01/24/2016,341,PETIT LARCENY,339.0,"LARCENY,PETIT FROM OPEN AREAS,",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,105.0,INSIDE,RESIDENCE-HOUSE,nan,nan,1063163.0,213547.0,40.752469821999995,-73.715180779,"(40.752469822, -73.715180779)"
458161064,02/17/2016,19:00:00,02/18/2016,18:00:00,02/18/2016,110,GRAND LARCENY OF MOTOR VEHICLE,441.0,"LARCENY,GRAND OF AUTO",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,19.0,nan,STREET,nan,nan,997877.0,221608.0,40.77493681,-73.950801013,"(40.77493681, -73.950801013)"
