OFNS_DESC,PD_DESC,LAW_CAT_CD,BORO_NM,Longitude,Latitude,TIME
FRAUDS,"FRAUD,UNCLASSIFIED-MISDEMEANOR",MISDEMEANOR,QUEENS,-73.740772795,40.653638670999996,2016-01-20 08:00:00
PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",MISDEMEANOR,BRONX,-73.858637203,40.888060945,2016-01-19 06:00:00
FORGERY,"FORGERY,ETC.,UNCLASSIFIED-FELO",FELONY,MANHATTAN,-73.978982121,40.760115559,2016-01-07 16:27:00
FRAUDS,"FRAUD,UNCLASSIFIED-MISDEMEANOR",MISDEMEANOR,MANHATTAN,-73.978982121,40.760115559,2016-01-07 16:27:00
GRAND LARCENY,"LARCENY,GRAND BY DISHONEST EMP",FELONY,MANHATTAN,-73.987984345,40.762268728,2016-01-04 09:00:00
THEFT-FRAUD,"FRAUD,UNCLASSIFIED-FELONY",FELONY,BRONX,-73.87822380899999,40.874906005,2016-01-01 12:00:00
HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,BRONX,-73.894277397,40.862013514000004,2016-01-16 14:00:00
HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,BROOKLYN,-73.916684069,40.637385239000004,2016-01-01 15:00:00
OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,MISDEMEANOR,MANHATTAN,-74.00816852199999,40.716862629,2016-01-11 22:00:00
HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,BRONX,-73.926927022,40.805722788000004,2016-01-05 12:00:00
PETIT LARCENY,"LARCENY,PETIT FROM OPEN AREAS,",MISDEMEANOR,BROOKLYN,-73.91707268100001,40.695791679,2016-01-03 12:00:00
THEFT-FRAUD,"FRAUD,UNCLASSIFIED-FELONY",FELONY,BROOKLYN,-73.959809599,40.606823180999996,2016-01-01 00:00:00
NYS LAWS-UNCLASSIFIED FELONY,"NY STATE LAWS,UNCLASSIFIED FEL",FELONY,BROOKLYN,-73.92162211600001,40.6664944,2016-01-16 00:01:00
CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,BRONX,-73.89773096100001,40.861357899,2016-01-08 09:52:00
GRAND LARCENY,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",FELONY,BRONX,-73.914273566,40.83655923,2016-01-01 09:00:00
THEFT-FRAUD,"FRAUD,UNCLASSIFIED-FELONY",FELONY,BROOKLYN,-73.957259839,40.668637618000005,2016-01-02 08:00:00
NYS LAWS-UNCLASSIFIED FELONY,"NY STATE LAWS,UNCLASSIFIED FEL",FELONY,MANHATTAN,-74.001253193,40.716344152,2016-01-15 15:00:00
BURGLARY,"BURGLARY,COMMERCIAL,NIGHT",FELONY,MANHATTAN,-73.940674937,40.842254636,2016-01-18 01:42:00
GRAND LARCENY,"LARCENY,GRAND BY DISHONEST EMP",FELONY,BROOKLYN,-73.964639222,40.715397276,2016-01-30 00:01:00
HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,MANHATTAN,-73.97819495,40.749866529,2016-01-01 12:00:00
PETIT LARCENY,"LARCENY,PETIT FROM AUTO",MISDEMEANOR,BROOKLYN,-73.912745137,40.701357615,2016-01-24 09:37:00
PETIT LARCENY,"LARCENY,PETIT OF LICENSE PLATE",MISDEMEANOR,BROOKLYN,-73.974501336,40.67821651,2016-01-08 16:00:00
OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,MISDEMEANOR,BRONX,-73.92471741199999,40.843123632,2016-01-30 15:00:00
HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,QUEENS,-73.867504083,40.727142666,2016-01-10 08:00:00
GRAND LARCENY,"LARCENY,GRAND BY DISHONEST EMP",FELONY,MANHATTAN,-73.96635808399999,40.76187469,2016-01-23 08:00:00
OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,MISDEMEANOR,MANHATTAN,-73.952358366,40.808557679,2016-01-01 10:00:00
PETIT LARCENY,"LARCENY,PETIT OF LICENSE PLATE",MISDEMEANOR,BROOKLYN,-73.997974955,40.688970591,2016-01-06 12:00:00
THEFT-FRAUD,"FRAUD,UNCLASSIFIED-FELONY",FELONY,BROOKLYN,-73.91336622899999,40.606402308,2016-01-19 15:00:00
GRAND LARCENY,"LARCENY,GRAND BY DISHONEST EMP",FELONY,MANHATTAN,-73.99311439600001,40.722574558000005,2016-01-08 00:01:00
FRAUDS,"FRAUD,UNCLASSIFIED-MISDEMEANOR",MISDEMEANOR,BROOKLYN,-73.948330954,40.598704972,2016-01-01 00:00:00
GRAND LARCENY,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",FELONY,MANHATTAN,-73.987424215,40.746362862,2016-01-27 12:00:00
PETIT LARCENY,PETIT LARCENY-CHECK FROM MAILB,MISDEMEANOR,BRONX,-73.892998995,40.867888738000005,2016-01-04 06:00:00
THEFT OF SERVICES,UNAUTH. SALE OF TRANS. SERVICE,MISDEMEANOR,BROOKLYN,-73.93112156699999,40.668806093,2016-01-14 08:06:00
ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",MISDEMEANOR,MANHATTAN,-73.974422337,40.724397188000005,2016-01-30 16:00:00
HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,QUEENS,-73.86406788800001,40.759691444,2016-01-12 11:15:00
HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,QUEENS,-73.888842266,40.717942845,2016-01-11 09:46:00
OFFENSES AGAINST PUBLIC ADMINI,VIOLATION OF ORDER OF PROTECTI,MISDEMEANOR,BRONX,-73.884371919,40.791151866999996,2016-01-11 07:00:00
GRAND LARCENY,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",FELONY,BROOKLYN,-73.93724032899999,40.621267161999995,2016-01-09 11:00:00
CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",MISDEMEANOR,MANHATTAN,-73.994038162,40.720332141,2016-01-05 03:20:00
MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,FELONY,MANHATTAN,-73.958230003,40.777237088,2016-01-30 10:18:00
